S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2024-05-29,133,SCB,Standard Chartered Bank Limited,599.6000,611.0000,578.0000,,11624,6836060.9000,587.9000,612.0000,497.4000,2024-05-29T12:17:35.496453,586.0000,83,588.09,
2,2024-05-29,134,HBL,Himalayan Bank Limited,199.9000,211.0000,196.0000,,36938,7425661.7000,196.0000,240.0000,167.1000,2024-05-29T12:18:37.740364,204.5000,136,201.03,
3,2024-05-29,137,EBL,Everest Bank Limited,549.9000,549.9000,536.1000,,8166,4415100.1000,540.0000,633.0000,448.0000,2024-05-29T12:21:37.547510,538.6000,60,540.66,
4,2024-05-29,139,NICA,NIC Asia Bank Ltd.,435.0000,442.0000,426.1000,,33507,14497165.7000,428.0000,852.0000,341.6000,2024-05-29T12:21:43.233114,431.0000,217,432.66,
5,2024-05-29,140,MBL,Machhapuchhre Bank Limited,189.7000,190.0000,185.5000,,7694,1437980.2000,186.0000,283.0000,157.8000,2024-05-29T12:19:59.965609,187.0000,45,186.89,
6,2024-05-29,145,SBL,Siddhartha Bank Limited,271.2000,276.0000,261.0000,,18053,4767054.1000,265.9000,291.7000,212.2000,2024-05-29T12:21:41.649323,263.3000,74,264.05,
7,2024-05-29,147,SHL,Soaltee Hotel Limited,458.0000,459.0000,450.0000,,34529,15725607.6000,450.0000,536.0000,284.2000,2024-05-29T12:23:02.282394,459.0000,125,455.43,
8,2024-05-29,148,TRH,Taragaon Regency Hotel Limited,773.0000,819.0000,760.8000,,17382,13483958.9000,758.0000,979.2000,535.5000,2024-05-29T12:22:58.516426,773.1000,126,775.74,
9,2024-05-29,152,NHPC,National Hydro Power Company Limited,149.0000,154.8000,147.0000,,26139,3908597.0000,146.9000,238.5000,126.0000,2024-05-29T12:17:46.221690,149.9000,93,149.53,
10,2024-05-29,154,CHCL,Chilime Hydropower Company Limited,462.0000,462.0000,451.1000,,4287,1945491.5000,453.0000,594.0000,426.3000,2024-05-29T12:17:29.948736,453.1000,27,453.81,
11,2024-05-29,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,683.0000,683.0000,665.0000,,6558,4403153.0000,670.0000,815.0000,544.4000,2024-05-29T12:05:23.823433,665.0000,26,671.41,
12,2024-05-29,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,875.5000,875.5000,854.0000,,2377,2039161.8000,858.4000,1052.5000,800.0000,2024-05-29T12:23:03.749853,856.1000,24,857.87,
13,2024-05-29,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,745.0000,745.0000,736.0000,,1245,919210.2000,743.0000,913.0000,650.0000,2024-05-29T12:22:02.802151,737.0000,21,738.32,
14,2024-05-29,171,SANIMA,Sanima Bank Limited,270.3000,270.4000,264.1000,,40060,10677496.5000,265.0000,310.0000,225.5000,2024-05-29T12:21:51.858234,265.0000,123,266.53,
15,2024-05-29,176,NICL,Nepal Insurance Co. Ltd.,865.1000,865.1000,851.4000,,2179,1862281.6000,848.2000,1023.0000,548.0000,2024-05-29T12:13:49.591819,853.0000,21,854.64,
16,2024-05-29,178,NLICL,National Life Insurance Co. Ltd.,565.0000,565.0000,559.0000,,531,298270.0000,560.1000,692.5000,521.3000,2024-05-29T12:21:20.583821,559.0000,8,561.71,
17,2024-05-29,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,715.0000,715.0000,692.0000,,1880,1319510.0000,704.0000,805.0000,594.1000,2024-05-29T12:06:32.108413,701.0000,13,701.86,
18,2024-05-29,186,IGI,IGI Prudential insurance Limited,553.3000,553.3000,543.0000,,5974,3261935.5000,542.5000,615.0000,373.0000,2024-05-29T12:10:32.004690,543.0000,35,546.02,
19,2024-05-29,188,LICN,Life Insurance Corporation (Nepal) Limited,1412.7000,1412.7000,1386.0000,,245,340515.0000,1385.0000,1800.0000,1239.7000,2024-05-29T12:07:04.133007,1399.9000,13,1389.85,
20,2024-05-29,192,SICL,Shikhar Insurance Co. Ltd.,713.0000,725.0000,713.0000,,1785,1286623.0000,718.0000,926.0000,669.4000,2024-05-29T12:13:45.609774,725.0000,24,720.79,
21,2024-05-29,204,GUFL,Gurkhas Finance Ltd.,685.0000,685.3000,670.0000,,5681,3836799.5000,672.0000,946.0000,470.1000,2024-05-29T12:22:06.936212,675.0000,68,675.37,
22,2024-05-29,210,CIT,Citizen Investment Trust,2175.0000,2175.0000,2160.0000,,2845,6168608.2000,2160.0000,2704.0000,1850.0000,2024-05-29T12:11:23.037383,2164.9000,56,2168.22,
23,2024-05-29,213,BNT,Bottlers Nepal (Terai) Limited,13000.0000,13500.0000,13000.0000,,405,5366418.5000,12761.1000,17508.0000,10500.0000,2024-05-29T12:20:06.295383,13500.0000,32,13250.41,
24,2024-05-29,235,HDL,Himalayan Distillery Limited,1355.0000,1355.0000,1325.0000,,10301,13688926.2000,1328.5000,2510.0000,1264.2000,2024-05-29T12:23:03.753519,1331.0000,229,1328.89,
25,2024-05-29,245,CFCL,Central Finance Co. Ltd.,394.7000,400.0000,387.1000,,12215,4802147.1000,387.0000,441.0000,282.0000,2024-05-29T12:21:30.991810,390.0000,38,393.13,
26,2024-05-29,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,402.9000,402.9000,387.1000,,701,272819.3000,395.0000,427.0000,281.0000,2024-05-29T12:20:16.125409,388.4000,11,389.18,
27,2024-05-29,273,ICFC,ICFC Finance Limited,525.0000,525.0000,514.0000,,2495,1286241.5000,515.0000,580.0000,397.0000,2024-05-29T12:19:31.216904,515.0000,21,515.52,
28,2024-05-29,307,NTC,Nepal Doorsanchar Company Limited,864.2000,898.6000,846.0000,,7848,6751247.1000,847.3000,1000.0000,758.0000,2024-05-29T12:18:29.502883,856.0000,99,860.25,
29,2024-05-29,341,GBIME,Global IME Bank Limited,193.8000,197.0000,189.5000,,42440,8176484.5000,190.0000,241.9000,170.0000,2024-05-29T12:22:39.900206,192.0000,197,192.65,
30,2024-05-29,348,CZBIL,Citizens Bank International Limited,182.5000,185.0000,176.0000,,41105,7465230.7000,179.0000,207.8000,152.5000,2024-05-29T12:20:44.325348,180.1000,114,181.61,
31,2024-05-29,357,PCBL,Prime Commercial Bank Ltd.,213.1000,216.0000,210.0000,,40948,8647666.7000,209.0000,224.8000,176.0000,2024-05-29T12:21:47.166005,210.0000,91,211.18,
32,2024-05-29,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,165.0000,166.0000,161.1000,,100368,16475635.8000,162.6000,316.0000,150.0000,2024-05-29T12:21:27.848586,163.9000,265,164.15,
33,2024-05-29,385,ALICL,Asian Life Insurance Co. Limited,588.7000,591.0000,580.1000,,2885,1683178.1000,583.8000,812.0000,523.0000,2024-05-29T12:13:16.388498,580.4000,31,583.42,
34,2024-05-29,403,SJLIC,SuryaJyoti Life Insurance Company Limited,432.0000,433.0000,422.3000,,2133,909792.7000,424.0000,646.0000,400.0000,2024-05-29T12:17:42.264485,422.7000,40,426.53,
35,2024-05-29,428,KRBL,Karnali Development Bank Limited,435.4000,435.4000,423.2000,,4565,1956403.4000,427.0000,479.0000,241.1000,2024-05-29T12:17:55.304086,430.0000,25,428.56,
36,2024-05-29,450,CORBL,Corporate Development Bank Limited,480.0000,488.0000,475.0000,,645,307785.0000,484.9000,496.0000,285.2000,2024-05-29T12:11:06.779558,475.0000,8,477.18,
37,2024-05-29,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,138.7000,138.7000,130.7000,,1040,144033.0000,136.0000,176.6000,122.8000,2024-05-29T12:14:59.458724,133.3000,5,138.49,
38,2024-05-29,472,SADBL,Shangrila Development Bank Ltd.,318.1000,324.3000,316.8000,,23660,7570748.4000,320.0000,352.9000,266.0000,2024-05-29T12:11:09.806046,319.0000,51,319.98,
39,2024-05-29,474,MNBBL,Muktinath Bikas Bank Ltd.,358.0000,358.0000,352.0000,,6181,2186422.4000,352.1000,446.0000,332.4000,2024-05-29T12:23:02.515462,353.0000,46,353.73,
40,2024-05-29,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,724.0000,729.0000,709.6000,,21381,15320519.0000,724.0000,781.0000,521.0000,2024-05-29T12:22:19.129854,712.0000,152,716.54,
